Image,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14
Bamboo/img3.jpeg,0.383292613,0.430818967,0.969131761,6.98004712,0.950113062,19.7954289,27.48170557,2.159043132,2.282616255,0.411822914,0.518959868,-0.731427444,0.963653625,0.351899983
Bamboo/img4.jpeg,0.267488195,0.361356813,0.984346228,11.54682035,0.954274111,19.04621082,45.80554069,2.354761218,2.472264748,0.346193009,0.489300796,-0.7691199,0.9770578,0.162502447
Bamboo/img5.jpeg,0.302020195,0.381103752,0.96260962,5.094855519,0.953342735,20.93740551,20.00399818,2.201601467,2.327318857,0.364884434,0.497777246,-0.742840843,0.967665165,0.213085768
Bamboo/img6.jpeg,0.341012229,0.379874523,0.968988166,6.126416885,0.9534638,21.42943322,24.11799789,2.114496735,2.234494353,0.363875536,0.494468961,-0.73830886,0.962909327,0.250221355
Bamboo/img7.jpeg,0.494726977,0.37064077,0.971443695,6.490553899,0.960754157,21.85757379,25.5874102,1.771667138,1.889064509,0.357753473,0.441120739,-0.735294546,0.943204984,0.470701858
Bamboo/img8.jpeg,0.330549079,0.299054828,0.975686978,6.150827948,0.955760804,19.49460511,24.30082339,2.256897323,2.389166139,0.285777637,0.478196285,-0.768403357,0.974414846,0.289619015
Bamboo/img9.jpeg,0.413162214,0.387510912,0.959616157,4.797458535,0.955370332,21.97039043,18.80386028,1.930694217,2.047472194,0.372130068,0.478453777,-0.723634807,0.949686833,0.36161753
Berry/img1.jpeg,0.405162855,0.210234044,0.966635972,3.146345627,0.966074364,23.03444479,12.39115395,2.104269494,2.213720398,0.2031398,0.389305038,-0.808480937,0.975064742,0.3711397
Berry/img10.jpeg,0.345850147,0.214561001,0.956017586,2.439665089,0.970687946,21.95955193,9.541426056,2.008622588,2.098660859,0.208772338,0.349309,-0.827933368,0.974032075,0.183305666
Berry/img2.jpeg,0.266034353,0.120805929,0.973528018,2.270233498,0.965745494,22.58428208,8.999769677,2.539131639,2.640546167,0.115080109,0.38189304,-0.818430761,0.987135597,0.219303352
Berry/img3.jpeg,0.41339799,0.241096385,0.962118202,3.17873998,0.963746425,23.12747228,12.48728147,2.069183324,2.185565414,0.232648742,0.410645979,-0.783729702,0.969765083,0.380412365
Berry/img4.jpeg,0.299428042,0.149509224,0.972568502,2.715076573,0.961234442,22.9862696,10.74667506,2.401246018,2.520222024,0.141873445,0.421518326,-0.790536576,0.98144877,0.239215847
Berry/img5.jpeg,0.290670306,0.167304873,0.972436613,3.025021088,0.964542285,21.39309562,11.96913342,2.362190718,2.481947117,0.160220897,0.39991076,-0.807546122,0.982609536,0.151919784
Berry/img6.jpeg,0.348609671,0.129580473,0.97694151,2.802259374,0.967704469,22.30524108,11.1063678,2.319001501,2.419187972,0.124182485,0.368691541,-0.816420282,0.982179788,0.318220824
Berry/img7.jpeg,0.271956734,0.123577289,0.964049486,1.713245902,0.968011566,22.7076949,6.74966661,2.393456993,2.493471383,0.118342891,0.364498913,-0.820521581,0.984406086,0.204536622
Berry/img8.jpeg,0.367383901,0.293424198,0.969115566,4.74294956,0.967046333,22.14579602,18.7064993,2.332910755,2.440754009,0.285433027,0.382802066,-0.822955503,0.983460648,0.339340578
Berry/img9.jpeg,0.342596824,0.241035161,0.960505763,3.019647155,0.968672524,21.66213224,11.94891723,2.10200761,2.202185024,0.234161971,0.368147082,-0.81783742,0.97637301,0.215798867
Hibisculus/img_1.jpg,0.275526476,0.238513143,0.978149417,5.459106539,0.945308562,24.35752717,21.58780981,2.52735254,2.669244387,0.222945343,0.539490014,-0.753140171,0.979956083,0.211246304
Hibisculus/img_10.jpg,0.278657325,0.255141146,0.97860601,5.961902874,0.949357513,25.26564513,23.59165856,2.377193971,2.516743165,0.241093924,0.515519487,-0.750678868,0.975632732,0.192120396
Hibisculus/img_2.jpg,0.262016496,0.22856891,0.980887296,5.978857642,0.955754839,25.05764114,23.68352919,2.440976533,2.557168183,0.21768138,0.465609009,-0.784641292,0.981566597,0.14895265
Hibisculus/img_3.jpg,0.26372376,0.248823287,0.980142484,6.265056494,0.957469771,24.99663096,24.80642747,2.454830579,2.576102005,0.238069714,0.457713515,-0.796211952,0.983441589,0.151971158
Hibisculus/img_4.jpg,0.20518988,0.230608245,0.978712023,5.416267396,0.939484965,22.48819472,21.42974714,2.713971648,2.85927552,0.212598955,0.569587889,-0.746011512,0.983296967,0.084762869
Hibisculus/img_5.jpg,0.254082978,0.297274442,0.976489432,6.322934014,0.94977527,24.86322026,24.98604816,2.519551402,2.673033925,0.281869122,0.523904731,-0.774245751,0.98288933,0.117205703
Hibisculus/img_6.jpg,0.263385883,0.306483888,0.977237141,6.732577092,0.953263835,24.84913039,26.61653857,2.480992019,2.627451392,0.292411854,0.498738457,-0.790027681,0.983821885,0.12619105
Hibisculus/img_7.jpg,0.278209123,0.243681917,0.981133482,6.457400596,0.955380599,25.12051134,25.58234589,2.363447381,2.490817159,0.23209594,0.476224762,-0.783317847,0.979756594,0.157211919
